name,word
1,祂
2,祂
3,祂
4,祂
5,祂
6,祂
7,祂
8,祂
9,祂
10,祂
11,祂
12,祂
13,祂
14,祂
15,祂
16,囯
17,埜
18,埜
19,埜
20,埜
21,埜
22,埜
23,夲
24,夲
25,夲
26,夲
27,夲
28,夲
29,夲
30,夲
31,夲
32,夲
33,夲
34,夲
35,夲
36,夲
37,夲
38,夲
39,夲
40,夲
41,夲
42,夲
43,夲
44,夲
45,夲
46,夲
47,夲
48,夲
49,夲
50,夲
51,夲
52,夲
53,夲
54,烳
55,孮
56,咉
57,衳
58,昚
59,昚
60,昚
61,昚
62,粿
63,粿
64,粿
65,粿
66,粿
67,粿
68,粿
69,粿
70,粿
71,粿
72,粿
73,粿
74,粿
75,粿
76,粿
77,粿
78,粿
79,粿
80,粿
81,粿
82,夀
83,夀
84,夀
85,夀
86,夀
87,夀
88,夀
89,夀
90,夀
91,夀
92,夀
93,夀
94,夀
95,夀
96,夀
97,夀
98,夀
99,夀
100,夀
101,夀
102,夀
103,楽
104,楽
105,楽
106,楽
107,楽
108,楽
109,楽
110,楽
111,楽
112,楽
113,楽
114,楽
115,楽
116,楽
117,塆
118,漄
119,牪
120,圔
121,呲
122,呲
123,呲
124,呲
125,呲
126,呲
127,呲
128,呲
129,呲
130,呲
131,呲
132,呲
133,呲
134,呲
135,呲
136,呲
137,呲
138,呲
139,呲
140,呲
141,呲
142,呲
143,呲
144,呲
145,呲
146,呲
147,呲
148,呲
149,呲
150,呲
151,呲
152,呲
153,呲
154,呲
155,呲
156,呲
157,呲
158,呲
159,呲
160,呲
161,呲
162,呲
163,呲
164,呲
165,呲
166,啵
167,啵
168,啵
169,啵
170,啵
171,啵
172,啵
173,啵
174,啵
175,啵
176,啵
177,啵
178,啵
179,啵
180,啵
181,啵
182,啵
183,啵
184,啵
185,啵
186,啵
187,啵
188,啵
189,啵
190,啵
191,啵
192,啵
193,啵
194,啵
195,啵
196,啵
197,啵
198,啵
199,啵
200,啵
201,啵
202,啵
203,啵
204,啵
205,啵
206,啵
207,啵
208,啵
209,啵
210,啵
211,栛
212,乸
213,乸
214,乸
215,乸
216,乸
217,乸
218,亊
219,亊
220,亊
221,亊
222,亊
223,亊
224,浛
225,浛
226,浛
227,浛
228,浛
229,浛
230,浛
231,浛
232,騄
233,騄
234,騄
235,叾
